step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,201,1,0.8150985752872513,0.0,0.546875
2,418,2,0.7154830226579845,0.0,0.582089552238806
3,643,3,0.701178619388735,0.0,0.6590909090909091
4,868,4,0.617265718419485,0.0,0.7294117647058823
5,1053,5,0.8002330830147042,0.0,0.6129032258064516
6,1222,6,0.7521047121453739,0.0,0.5925925925925926
7,1383,7,0.5710038758512309,0.0,0.6521739130434783
8,1544,8,0.5044738276832886,0.0,0.6666666666666666
9,1713,9,0.715549934990801,0.0,0.6964285714285714
10,1842,10,0.32202048383436704,0.0,0.6666666666666666
11,2075,11,0.9186072393690645,0.0,0.65
12,2308,12,0.8163357698938773,0.0,0.6534653465346535
13,2493,13,0.5497091918938947,0.0,0.7142857142857143
14,2694,14,0.7588162058355229,0.0,0.547945205479452
15,2967,15,0.3074551426826889,0.0,0.8661971830985915
16,3160,16,0.5824626323374347,0.0,0.6619718309859155
17,3417,17,0.42651835309317454,0.0,0.7310924369747899
18,3578,18,0.5462546033599811,0.0,0.5405405405405406
19,3747,19,0.2767967410987815,0.0,0.7777777777777778
20,3972,20,0.4026009447508191,0.0,0.723404255319149
21,4189,21,0.6003473334426127,0.0,0.7294117647058823
22,4430,22,0.6871517482968302,0.0,0.6574074074074074
23,4623,23,0.4704918964167166,0.0,0.6
24,4752,24,0.10057613978372047,0.0,0.0
25,4961,25,0.8494821782327535,0.0,0.5568181818181818
26,5154,26,0.8057939740331925,0.0,0.5866666666666667
27,5307,27,0.2770555141510443,0.0,0.6521739130434783
28,5572,28,0.4909281250046877,0.0,0.7878787878787878
29,5717,29,0.4064184978867585,0.0,0.4782608695652174
30,5950,30,0.3669043940880912,0.0,0.8317757009345794
31,6151,31,0.4196746834961731,0.0,0.7333333333333333
32,6368,32,0.4484099479609517,0.0,0.7222222222222222
33,6529,33,0.712778789034719,0.0,0.6440677966101694
34,6706,34,0.11957874459267921,0.0,0.8695652173913043
35,6899,35,0.4438456118545627,0.0,0.7391304347826086
36,7132,36,0.5979604053712111,0.0,0.7403846153846154
37,7365,37,0.5072990160674039,0.0,0.7735849056603774
38,7630,38,0.8806285918535635,0.0,0.5955882352941176
39,7783,39,0.28920304982879697,0.0,0.6956521739130435
40,8040,40,0.5899655045249449,0.0,0.7230769230769231
41,8273,41,0.5760908488784315,0.0,0.68
42,8474,42,0.5230918920091878,0.0,0.6231884057971014
43,8707,43,0.34996144336132445,0.0,0.7857142857142857
44,8892,44,0.29225687399089945,0.0,0.7818181818181819
45,9045,45,0.5296810080970776,0.0,0.5384615384615384
46,9262,46,0.5935893195010188,0.0,0.7126436781609196
47,9591,47,0.7078973953054567,0.0,0.6533333333333333
48,9744,48,0.2389844203089734,0.0,0.8285714285714286
49,9985,49,0.2748003621541332,0.0,0.8404255319148937
50,10186,50,0.6273616699068808,0.0,0.7444444444444445
51,10363,51,0.48911547489695134,0.0,0.6451612903225806
52,10556,52,0.5498346362634599,0.0,0.7466666666666667
53,10733,53,0.40289663517266244,0.0,0.5869565217391305
54,10958,54,0.4460601988452747,0.0,0.7317073170731707
55,11127,55,0.5000420663536386,0.0,0.7368421052631579
56,11416,56,0.6665880813059463,0.0,0.7922077922077922
57,11665,57,0.6034817176854806,0.0,0.7699115044247787
58,11890,58,0.6000755693264844,0.0,0.7358490566037735
59,12083,59,0.6110803467831116,0.0,0.5454545454545454
60,12260,60,0.3660427510819335,0.0,0.76
61,12421,61,0.20660596148745755,0.0,0.7714285714285715
62,12558,62,0.2960790238584912,0.0,0.75
63,12767,63,0.5910743566976341,0.0,0.6666666666666666
64,12968,64,0.3478856914334,0.0,0.7647058823529411
65,13193,65,0.431350671549813,0.0,0.7448979591836735
66,13402,66,0.3529150357601779,0.0,0.7567567567567568
67,13611,67,0.4553389248359516,0.0,0.7368421052631579
68,13812,68,0.5799168470685725,0.0,0.6363636363636364
69,14053,69,0.38622794975203584,0.0,0.8125
70,14270,70,0.5310893587761331,0.0,0.7303370786516854
71,14399,71,0.13095596260705009,0.0,0.6666666666666666
72,14600,72,0.5051712477012974,0.0,0.6447368421052632
73,14825,73,0.5374456392952612,0.0,0.6836734693877551
74,15010,74,0.3240704689441064,0.0,0.7777777777777778
75,15259,75,0.5167331243056833,0.0,0.7477477477477478
76,15428,76,0.5007768514026594,0.0,0.68
77,15589,77,0.35112255690077115,0.0,0.7058823529411765
78,15790,78,0.701381983374702,0.0,0.5571428571428572
79,16047,79,0.7411919687723718,0.0,0.6417910447761194
80,16320,80,0.6082953636796403,0.0,0.6917808219178082
81,16545,81,0.5349154005588411,0.0,0.6702127659574468
82,16730,82,0.3658199808105912,0.0,0.7384615384615385
83,16923,83,0.4157205979850838,0.0,0.782051282051282
84,17132,84,0.591101155106248,0.0,0.6455696202531646
85,17317,85,0.5634541788403072,0.0,0.5964912280701754
86,17518,86,0.48118001188290727,0.0,0.6712328767123288
87,17687,87,0.5393100750912881,0.0,0.6458333333333334
88,17896,88,0.3240569523581144,0.0,0.7901234567901234
89,18049,89,0.1735889674362778,0.0,0.8125
90,18234,90,0.7384694514468513,0.0,0.4918032786885246
91,18443,91,0.4547438683393445,0.0,0.7472527472527473
92,18652,92,0.3944446324556307,0.0,0.7530864197530864
93,18829,93,0.3188178438990871,0.0,0.7222222222222222
94,19054,94,0.5933206642978517,0.0,0.6847826086956522
95,19231,95,0.14049832694936742,0.0,0.8888888888888888
96,19440,96,0.38411841826698806,0.0,0.7142857142857143
97,19633,97,0.2836506476619676,0.0,0.8032786885245902
98,19834,98,0.6607667524589801,0.0,0.631578947368421
99,20003,99,0.31100965557258214,0.0,0.7142857142857143
100,20324,100,0.6887926923120524,0.0,0.7157894736842105
101,20533,101,0.7951737301142622,0.0,0.5888888888888889
102,20726,102,0.6042485941960998,0.0,0.6266666666666667
103,21031,103,0.3137790187367288,0.0,0.8719512195121951
