step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,209,1,0.6050929683113254,0.0,0.691358024691358
2,370,2,0.554120546752376,0.0,0.5609756097560976
3,619,3,0.9111680914371548,0.0,0.6186440677966102
4,780,4,0.9084301987741679,0.0,0.559322033898305
5,973,5,0.8755932047275126,0.0,0.5362318840579711
6,1166,6,0.5995085965317586,0.0,0.6333333333333333
7,1471,7,0.5729670928564804,0.0,0.7484662576687117
8,1664,8,0.7253898041175291,0.0,0.7333333333333333
9,1857,9,0.8345634175312913,0.0,0.56
10,2050,10,0.6014857573799665,0.0,0.6268656716417911
11,2243,11,0.47480074794623306,0.0,0.6865671641791045
12,2460,12,0.6135946336601085,0.0,0.7708333333333334
13,2685,13,0.4200589884479229,0.0,0.7553191489361702
14,2854,14,0.6565064565909154,0.0,0.5740740740740741
15,3087,15,0.3411302550838044,0.0,0.7946428571428571
16,3264,16,0.3603048301362982,0.0,0.723404255319149
17,3417,17,0.3606009351110659,0.0,0.8
18,3634,18,0.598957309811067,0.0,0.7303370786516854
19,3907,19,0.4206299285871811,0.0,0.7928571428571428
20,4076,20,0.45652864447950064,0.0,0.6875
21,4213,21,0.29630874410860675,0.0,0.4166666666666667
22,4374,22,0.47633910953948,0.0,0.7021276595744681
23,4575,23,0.3863839562015615,0.0,0.72
24,4776,24,0.5293343203779565,0.0,0.6216216216216216
25,5241,25,0.4928422403925727,0.0,0.7960526315789473
26,5450,26,0.7530620156214646,0.0,0.5795454545454546
27,5651,27,0.2972508815305708,0.0,0.8441558441558441
28,5852,28,0.4100400440855404,0.0,0.6617647058823529
29,6029,29,0.33499200443231203,0.0,0.7222222222222222
30,6198,30,0.4882291622858905,0.0,0.631578947368421
31,6439,31,0.7011658798340564,0.0,0.7272727272727273
32,6688,32,0.8364924361952984,0.0,0.6031746031746031
33,6905,33,0.5835243464682585,0.0,0.735632183908046
34,7090,34,0.427900393126664,0.0,0.7241379310344828
35,7243,35,0.530915751915546,0.0,0.46153846153846156
36,7396,36,0.6981581822988931,0.0,0.5227272727272727
37,7653,37,0.5015186134633444,0.0,0.7615384615384615
38,7878,38,0.3674552157999564,0.0,0.7941176470588235
39,8095,39,0.5205553784494718,0.0,0.6875
40,8272,40,0.45536830699574987,0.0,0.6774193548387096
41,8449,41,0.3589655114601919,0.0,0.7575757575757576
42,8594,42,0.2543839513100425,0.0,0.7352941176470589
43,8851,43,0.45015666566542906,0.0,0.7456140350877193
44,9052,44,0.3825592832751631,0.0,0.7971014492753623
45,9261,45,0.44149936995268385,0.0,0.7692307692307693
46,9462,46,0.4331026349072519,0.0,0.6666666666666666
47,9687,47,0.20970129200700027,0.0,0.8817204301075269
48,9960,48,0.2926629961985049,0.0,0.8421052631578947
49,10169,49,0.5355515592795452,0.0,0.6875
50,10338,50,0.44972179202556917,0.0,0.5555555555555556
51,10515,51,0.447482924998452,0.0,0.58
52,10740,52,0.47577332112839416,0.0,0.7244897959183674
53,10981,53,0.32792480469994734,0.0,0.84375
54,11254,54,0.1957582188437792,0.0,0.9084507042253521
55,11431,55,0.6686436081950723,0.0,0.6190476190476191
56,11592,56,0.5122509682879502,0.0,0.6818181818181818
57,11817,57,0.42197061765322613,0.0,0.7272727272727273
58,12026,58,0.7651986759732244,0.0,0.5888888888888889
59,12283,59,0.42136997679826893,0.0,0.8195488721804511
60,12500,60,0.43960447082292237,0.0,0.7864077669902912
61,12709,61,0.35097367523955025,0.0,0.7857142857142857
62,12894,62,0.31837792522965486,0.0,0.6578947368421053
63,13055,63,0.25311677217929535,0.0,0.8461538461538461
64,13256,64,0.41129643611548233,0.0,0.7738095238095238
65,13465,65,0.5692143156043256,0.0,0.691358024691358
66,13730,66,0.621320892734132,0.0,0.6953125
67,13947,67,0.409666715888522,0.0,0.7640449438202247
68,14116,68,0.3794011818869885,0.0,0.6122448979591837
69,14317,69,0.4321719559411926,0.0,0.640625
70,14510,70,0.6596025088218206,0.0,0.6338028169014085
71,14695,71,0.3003467803966835,0.0,0.7777777777777778
72,14936,72,0.3890918507049185,0.0,0.7647058823529411
73,15105,73,0.30665494250491887,0.0,0.723404255319149
74,15306,74,0.11465675954659453,0.0,0.86
75,15595,75,0.5315581091046765,0.0,0.7297297297297297
76,15788,76,0.5420869762396705,0.0,0.5471698113207547
77,15949,77,0.3651817716585084,0.0,0.5806451612903226
78,16110,78,0.3303014058007357,0.0,0.803921568627451
79,16263,79,0.179459302436241,0.0,0.71875
80,16448,80,0.17112557188345498,0.0,0.8888888888888888
81,16665,81,0.49135076322210935,0.0,0.7391304347826086
82,16898,82,0.49668481010196736,0.0,0.7884615384615384
83,17099,83,0.5798204819519226,0.0,0.6301369863013698
84,17284,84,0.3138556021303473,0.0,0.7538461538461538
85,17469,85,0.4352564392287003,0.0,0.6557377049180327
86,17638,86,0.4809941595770908,0.0,0.6666666666666666
87,17943,87,0.39789002558914943,0.0,0.8579881656804734
88,18120,88,0.2810552113706945,0.0,0.8412698412698413
89,18321,89,0.4592959871436695,0.0,0.7272727272727273
90,18474,90,0.3768578349600322,0.0,0.5806451612903226
91,18619,91,0.3474777205524555,0.0,0.6451612903225806
92,18780,92,0.49041239183282603,0.0,0.5882352941176471
93,18989,93,0.6067840537570219,0.0,0.6813186813186813
94,19318,94,0.5580445672924561,0.0,0.7066666666666667
95,19527,95,0.28590423773401197,0.0,0.7901234567901234
96,19704,96,0.29897940428954,0.0,0.8181818181818182
97,19897,97,0.21181025022494088,0.0,0.8360655737704918
98,20050,98,0.7483711003410127,0.0,0.5862068965517241
99,20275,99,0.5408173885371772,0.0,0.7452830188679245
100,20484,100,0.5450163677386053,0.0,0.7088607594936709
101,20685,101,0.24438406005104046,0.0,0.8095238095238095
102,20830,102,0.37855838341265147,0.0,0.5
103,21103,103,0.5900234451710918,0.0,0.7054794520547946
104,21272,104,0.3811688894189995,0.0,0.5652173913043478
105,21441,105,0.47079272574239267,0.0,0.7192982456140351
106,21650,106,0.3069011283760245,0.0,0.8354430379746836
107,21883,107,0.34166205918206377,0.0,0.8061224489795918
108,22076,108,0.42634577318058375,0.0,0.7101449275362319
109,22261,109,0.27121302956000004,0.0,0.7796610169491526
